codcondom,codbloco,codblocobase,descricao,qtdeconomias,tipolograd,lograd,numero,bairro,cidade,uf,cep8_log,ativo,tipo_bloco
6534,ADT,PRI,REEMBOLSO,0,,,,,,,,S,Financeiro
6534,FR,,FUNDO DE RESERVAS,0,,,,,,,,S,Financeiro
6534,OU6,,MEDIDORES DE GAS,0,,,,,,,,N,Financeiro
6534,PRI,,PRINCIPAL,122,R,"FREITAS, GENERAL",197.0,FREITAS,SAPUCAIA DO SUL,RS,93218170.0,S,Físico
6534,A,,BLOCO A,60,R,"FREITAS, GENERAL",197.0,FREITAS,SAPUCAIA DO SUL,RS,93218170.0,S,Físico
6534,B,,BLOCO B,60,R,"FREITAS, GENERAL",197.0,FREITAS,SAPUCAIA DO SUL,RS,93218170.0,S,Físico
6654,OU3,,FUNDO AGUA,0,,,,,,,,S,Financeiro
6654,OU1,,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
6654,OU2,,SALAO DE FESTAS,0,,,,,,,,S,Financeiro
6654,ADT,PRI,REEMBOLSO,0,,,,,,,,S,Financeiro
6654,PRI,,PRINCIPAL,131,R,VICENTE DA FONTOURA,2949.0,BELA VISTA,PORTO ALEGRE,RS,90460065.0,S,Físico
6909,OU1,,FUNDO RESERVA,0,,,,,,,,S,Financeiro
6909,OU3,,FUNDO DE PESSOAL,0,,,,,,,,S,Financeiro
6909,OU4,,LOCACAO - AP 109,0,,,,,,,,S,Financeiro
6909,OU5,,FUNDO TROCA DE JANELA,0,,,,,,,,S,Financeiro
6909,PRI,,PRINCIPAL,64,AV,JOAO WALLIG,719.0,PASSO D AREIA,PORTO ALEGRE,RS,91340000.0,S,Físico
8097,OU5,UNC,FUNDO TAXA DE MUDANÇA,0,,,,,,,,S,Financeiro
8097,FR,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
8097,OU1,UNC,FUNDO DE REFORMA,0,,,,,,,,S,Financeiro
8097,OU4,UNC,FUNDO PINTURA,0,,,,,,,,S,Financeiro
8097,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
8097,OU3,UNC,CONDOMÍNIO BOX,0,,,,,,,,S,Financeiro
8097,OU8,,OBRAS,0,,,,,,,,S,Financeiro
8097,OU2,UNC,GÁS,0,,,,,,,,S,Financeiro
8097,OU7,UNC,FUNDO MARQUISE,0,,,,,,,,N,Financeiro
8097,OU6,UNC,MODERNIZACAO ELEVADOR,0,,,,,,,,S,Financeiro
8097,UNC,,PRINCIPAL,86,R,FLORES DA CUNHA,111.0,PATRIA NOVA,NOVO HAMBURGO,RS,93410110.0,S,Físico
8791,ADT,UNC,REEMBOLSO,0,,,,,,,,S,Financeiro
8791,OU3,,FUNDO PINTURA,0,,,,,,,,S,Financeiro
8791,OU2,UNC,ACOES JUDICIAIS,0,,,,,,,,S,Financeiro
8791,FR,UNC,FUNDO DE RESERVA,0,,,,,,,,S,Financeiro
8791,OU1,UNC,MANUTENCAO PREDIAL.,0,,,,,,,,S,Financeiro
8791,UNC,,PRINCIPAL,20,R,CACADOR,223.0,RIO BRANCO,NOVO HAMBURGO,RS,93336170.0,S,Físico
